f,s11,idk
3.500000000000000E9,4.475332427852811E1, 1.291363396214256E1  
3.505000000000000E9,4.474073848145886E1, 1.280420020613232E1  
3.510000000000000E9,4.482869706514912E1, 1.004671803441696E1  
3.515000000000000E9,4.460934767054940E1, 1.371265133859956E1  
3.520000000000000E9,4.466579864672815E1, 9.907476585882822  
3.525000000000000E9,4.449636127198142E1, 8.317176698679836  
3.530000000000000E9,4.451601691440526E1, 7.034392712743137  
3.535000000000000E9,4.443020334824094E1, 5.538434934467013  
3.540000000000000E9,4.437591454300764E1, 5.842268689240563  
3.545000000000000E9,4.429013384418839E1, 4.499239545381846  
3.550000000000000E9,4.418626458961679E1, 1.671316906594013  
3.555000000000000E9,4.411790532674974E1, 3.003904737073802  
3.560000000000000E9,4.382403627718348E1,-6.081250193132165E-1  
3.565000000000000E9,4.398036722043615E1, 6.152899330567822E-1  
3.570000000000000E9,4.393709584371265E1, 1.001278713441658  
3.575000000000000E9,4.390487347224264E1,-1.663479124614700  
3.580000000000000E9,4.387349625612724E1,-4.318158840018876  
3.585000000000000E9,4.370753845805550E1,-5.737721792149152  
3.590000000000000E9,4.357933697632145E1,-2.240512705679549  
3.595000000000000E9,4.346081511033680E1,-5.786651178644107  
3.600000000000000E9,4.324216927926049E1,-5.136903277452706  
3.605000000000000E9,4.321579123166394E1,-5.492761080707051  
3.610000000000000E9,4.287961122077081E1,-7.740128372690652  
3.615000000000000E9,4.276799259602647E1,-6.722025819461109  
3.620000000000000E9,4.275779418717978E1,-1.092602677827876E1  
3.625000000000000E9,4.274191006360423E1,-1.062451840408860E1  
3.630000000000000E9,4.275230470313906E1,-9.935717376575745  
3.635000000000000E9,4.249659182907125E1,-1.291064109202753E1  
3.640000000000000E9,4.243674785948292E1,-1.634804707909593E1  
3.645000000000000E9,4.216483247158104E1,-1.533641638181831E1  
3.650000000000000E9,4.204975252491942E1,-1.675349905644600E1  
3.655000000000000E9,4.184156951714189E1,-1.670954751628812E1  
3.660000000000000E9,4.171490132437068E1,-1.570297694852390E1  
3.665000000000000E9,4.158435574616701E1,-1.709092239211207E1  
3.670000000000000E9,4.147988596341387E1,-1.945002751097727E1  
3.675000000000000E9,4.138431525159330E1,-2.018979052906814E1  
3.680000000000000E9,4.124520337261630E1,-2.176934262067898E1  
3.685000000000000E9,4.138190842094782E1,-2.144829012343452E1  
3.690000000000000E9,4.152096307233260E1,-2.090134737104271E1  
3.695000000000000E9,4.131348460958893E1,-2.316691088076876E1  
3.700000000000000E9,4.095450933977201E1,-2.512747836718996E1  
3.705000000000000E9,4.097277486760752E1,-2.413300083145642E1  
3.710000000000000E9,4.105387770626872E1,-2.422158587028820E1  
3.715000000000000E9,4.047784339833799E1,-2.523410489690035E1  
3.720000000000000E9,4.057816747963905E1,-2.430473971268765E1  
3.725000000000000E9,4.055112629907790E1,-2.424256128687087E1  
3.730000000000000E9,4.060274298061751E1,-2.350650857098176E1  
3.735000000000000E9,4.028475501008504E1,-2.511812213030150E1  
3.740000000000000E9,4.041304847449344E1,-2.484508767486608E1  
3.745000000000000E9,4.025225926514511E1,-2.624417650839629E1  
3.750000000000000E9,3.999983866802368E1,-2.778509150853968E1  
3.755000000000000E9,3.999975925689910E1,-2.741047375510351E1  
3.760000000000000E9,3.985899830436492E1,-2.838825874583285E1  
3.765000000000000E9,3.960538705265231E1,-2.860036823915899E1  
3.770000000000000E9,3.936401179505462E1,-2.907492974757995E1  
3.775000000000000E9,3.931406765521047E1,-2.989635056234584E1  
3.780000000000000E9,3.943316239266104E1,-2.940703786868146E1  
3.785000000000000E9,3.934325095981810E1,-3.000781240838374E1  
3.790000000000000E9,3.903923047544134E1,-3.138468160394054E1  
3.795000000000000E9,3.905719666283550E1,-3.046395862878957E1  
3.800000000000000E9,3.889019018848584E1,-3.166956400773783E1  
3.805000000000000E9,3.886677265219061E1,-3.110215540328810E1  
3.810000000000000E9,3.863271435817381E1,-3.145545693519950E1  
3.815000000000000E9,3.868953109270745E1,-3.156201721138521E1  
3.820000000000000E9,3.840747083852899E1,-3.276704748816464E1  
3.825000000000000E9,3.809949663784446E1,-3.336802586628708E1  
3.830000000000000E9,3.813896138475808E1,-3.406313296235292E1  
3.835000000000000E9,3.812896506845510E1,-3.401805918704512E1  
3.840000000000000E9,3.803507993910885E1,-3.484580086925317E1  
3.845000000000000E9,3.801363579922943E1,-3.590637217019136E1  
3.850000000000000E9,3.800928740991559E1,-3.701467630462316E1  
3.855000000000000E9,3.782110034564652E1,-3.796031877913779E1  
3.860000000000000E9,3.798628018144126E1,-3.797468274928293E1  
3.865000000000000E9,3.772661523063929E1,-3.700860498042304E1  
3.870000000000000E9,3.750277324052141E1,-3.694744756270779E1  
3.875000000000000E9,3.743345953259414E1,-3.783528834128420E1  
